Team,Current Elo
São Tomé and Príncipe,1425
Tahiti,1667
Taiwan,1474
Tajikistan,1681
Tamil Eelam,1513
Tanzania,1671
Thailand,1782
Tibet,1413
Ticino,1482
Timor-Leste,1273
Togo,1671
Tonga,1374
Trinidad and Tobago,1738
Tunisia,1908
Turkey,1969
Turkmenistan,1594
Turks and Caicos Islands,1386
Tuvalu,1435
Two Sicilies,1473
Uganda,1713
Ukraine,1989
United Arab Emirates,1867
United Koreans in Japan,1507
United States,2019
United States Virgin Islands,1314
Uruguay,2087
Uzbekistan,1941
Vanuatu,1591
Vatican City,1472
Venezuela,1941
Vietnam,1719
Vietnam Republic,1530
Wales,1946
Wallis Islands and Futuna,1430
West Papua,1499
Western Armenia,1499
Western Australia,1485
Western Isles,1504
Western Sahara,1495
Western Samoa,1460
Yemen,1532
Yemen DPR,1467
Ynys Môn,1630
Yorkshire,1534
Yoruba Nation,1493
Yugoslavia,1829
Zambia,1746
Zanzibar,1579
Zimbabwe,1694
Åland Islands,1531
